Layer_Index,Layer_Name,Channel_Index,Top1_Accuracy,Accuracy_Drop,Input_Channels,Output_Channels,Kernel_Size,Stride,Padding,Groups,Bias,Weight_Shape
2,model.2.m.0.cv1.conv,11,0.9154000282287598,0.0048999786376953125,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,7,0.9158999919891357,0.004400014877319336,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,2,0.9168000221252441,0.0034999847412109375,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,5,0.9168999791145325,0.0034000277519226074,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,14,0.9171000123023987,0.0031999945640563965,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,13,0.9176999926567078,0.0026000142097473145,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,3,0.9182000160217285,0.0020999908447265625,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,12,0.9182000160217285,0.0020999908447265625,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,0,0.9182999730110168,0.0020000338554382324,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,6,0.9186000227928162,0.001699984073638916,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,9,0.9189000129699707,0.001399993896484375,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,1,0.9190000295639038,0.0012999773025512695,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,8,0.9193999767303467,0.0009000301361083984,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,10,0.9200999736785889,0.00020003318786621094,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,4,0.920199990272522,0.00010001659393310547,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
2,model.2.m.0.cv1.conv,15,0.9210000038146973,-0.0006999969482421875,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
1,model.2.m.0.cv2.conv,12,0.8452000021934509,0.07510000467300415,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
1,model.2.m.0.cv2.conv,15,0.8467000126838684,0.07359999418258667,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
1,model.2.m.0.cv2.conv,9,0.8891000151634216,0.031199991703033447,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
1,model.2.m.0.cv2.conv,6,0.9067999720573425,0.013500034809112549,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
1,model.2.m.0.cv2.conv,10,0.9068999886512756,0.013400018215179443,16,16,"[3, 3]","[1, 1]","[1, 1]",1,True,"[16, 16, 3, 3]"
