Layer_Index,Layer_Name,Top1_Accuracy,Accuracy_Drop
0,model.0.conv,0.10000000149011612,0.820300005376339
8,model.4.cv2.conv,0.10000000149011612,0.820300005376339
22,model.8.cv2.conv,0.10000000149011612,0.820300005376339
21,model.8.cv1.conv,0.10000000149011612,0.820300005376339
20,model.7.conv,0.10000000149011612,0.820300005376339
15,model.6.cv2.conv,0.10000000149011612,0.820300005376339
14,model.6.cv1.conv,0.10000000149011612,0.820300005376339
1,model.1.conv,0.10000000149011612,0.820300005376339
13,model.5.conv,0.10000000149011612,0.820300005376339
25,model.9.conv.conv,0.10000000149011612,0.820300005376339
2,model.2.cv1.conv,0.10000000149011612,0.820300005376339
7,model.4.cv1.conv,0.10000000149011612,0.820300005376339
6,model.3.conv,0.10000000149011612,0.820300005376339
3,model.2.cv2.conv,0.10000000149011612,0.820300005376339
12,model.4.m.1.cv2.conv,0.5059000253677368,0.41439998149871826
5,model.2.m.0.cv2.conv,0.5651999711990356,0.35510003566741943
4,model.2.m.0.cv1.conv,0.863099992275238,0.05720001459121704
9,model.4.m.0.cv1.conv,0.8665000200271606,0.053799986839294434
11,model.4.m.1.cv1.conv,0.878000020980835,0.04229998588562012
10,model.4.m.0.cv2.conv,0.880299985408783,0.04000002145767212
16,model.6.m.0.cv1.conv,0.910099983215332,0.010200023651123047
19,model.6.m.1.cv2.conv,0.9106000065803528,0.009700000286102295
17,model.6.m.0.cv2.conv,0.9111999869346619,0.009100019931793213
24,model.8.m.0.cv2.conv,0.9146000146865845,0.0056999921798706055
18,model.6.m.1.cv1.conv,0.9151999950408936,0.0051000118255615234
23,model.8.m.0.cv1.conv,0.9190999865531921,0.0012000203132629395
